Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Bowler,Runs,Extra Runs,Bowler Extra Runs,Extra,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,5,10,Irfan Ali,Ranganath Appi Singri,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:27:11.85,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,12,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,4,No,2,5,3,1,1,1,7.33,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,6,11,Steve Gandy,Ranganath Appi Singri,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:27:34.44,0,North Enfield CC 1st XI,Bat,South,Irfan Ali,13,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,5,No,2,2,2,1,1,2,7.20,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,7,12,Irfan Ali,Ranganath Appi Singri,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:27:38.813,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,14,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,6,No,2,6,4,1,1,1,7.09,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,3,1,13,Irfan Ali,Scott Dinnes,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:27:47.433,0,North Enfield CC 1st XI,Bat,North,Steve Gandy,15,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,1,No,2,7,5,1,2,1,7.00,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,3,2,14,Steve Gandy,Scott Dinnes,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:37:57.677,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,17,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,2,No,2,3,4,1,2,2,6.92,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,3,3,15,Steve Gandy,Scott Dinnes,4,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:38:08.15,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,21,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,3,No,2,4,8,1,2,2,7.29,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,3,4,16,Steve Gandy,Scott Dinnes,4,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:38:09.277,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,25,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,4,No,2,5,12,1,2,2,8.40,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,3,5,17,Steve Gandy,Scott Dinnes,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:38:09.293,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,26,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,5,No,2,6,13,1,2,2,9.38,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,3,6,18,Irfan Ali,Scott Dinnes,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:38:10,0,North Enfield CC 1st XI,Bat,North,Steve Gandy,27,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,6,No,2,8,6,1,2,1,9.18,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,4,1,19,Irfan Ali,Ranganath Appi Singri,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:38:20.093,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,27,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,1,No,2,9,6,1,2,1,9.00,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,4,2,20,Irfan Ali,Ranganath Appi Singri,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:39:56.097,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,29,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,2,No,2,10,8,1,2,1,8.53,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,4,3,21,Irfan Ali,Ranganath Appi Singri,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:40:37.29,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,31,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,3,No,2,11,10,1,2,1,8.70,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,4,4,22,Irfan Ali,Ranganath Appi Singri,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:40:37.773,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,33,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,4,No,2,12,12,1,2,1,8.86,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,4,5,23,Irfan Ali,Ranganath Appi Singri,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:40:38.617,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,35,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,5,No,2,13,14,1,2,1,9.00,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,4,6,24,Irfan Ali,Ranganath Appi Singri,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:40:39.863,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,37,1,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,6,No,2,14,16,1,2,1,9.13,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,5,1,25,Steve Gandy,Scott Dinnes,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:40:44.243,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,39,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,1,No,2,7,15,1,3,2,9.25,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,5,2,26,Steve Gandy,Scott Dinnes,4,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:48:35.7,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,43,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,2,No,2,8,19,1,3,2,9.36,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,5,3,27,Steve Gandy,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:48:35.72,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,43,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,3,No,2,9,19,1,3,2,9.92,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,5,4,28,Steve Gandy,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:48:37.067,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,43,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,4,No,2,10,19,1,3,2,9.56,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,5,5,29,Steve Gandy,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:48:38.607,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,43,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,5,No,2,11,19,1,3,2,9.21,8.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,5,6,30,Steve Gandy,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:48:40.103,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,43,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,6,No,2,12,19,1,3,2,8.90,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,6,1,31,Irfan Ali,Ranganath Appi Singri,0,0,0,,,,,,,,,,,,,Stumped,Irfan Ali,,,,,,,No,No,Matt Richardson,Stumping,Wicketkeeper,,,,,,,,,,RHB,,20240719 15:48:19.545,0,North Enfield CC 1st XI,Bat,South,Steve Gandy,43,2,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,1,No,2,15,16,1,3,1,8.60,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
